InvoiceID,SupplierID,InvoiceNumber,Amount,Date,Channel,Status,Dept
18,5043,INV-4850Ss,1504.64,2025-07-06,Email,Pending,Logistics
19,5002,INV-5580xa,1152.85,2025-10-20,Paper,Flagged,Logistics
20,5023,INV-9336Ug,4626.01,2026-03-17,Portal,Pending,Marketing
21,5013,INV-2936LM,3686.66,2026-03-18,EDI,Flagged,IT
22,5032,INV-2374Ne,742.06,2026-04-05,Portal,Pending,Logistics
23,5020,INV-7085Ak,792.44,2025-11-05,Paper,Pending,Marketing
24,5021,INV-2548Fd,2977.15,2026-03-05,Portal,paid,Operations
25,5013,INV-3498il,632.23,2026-02-27,EDI,Flagged,IT
26,5042,INV-5443eg,3154.41,2025-06-21,Email,Flagged,IT
27,5018,INV-5937Qr,1738.56,2026-01-12,Portal,paid,Logistics
28,5040,INV-6620Yc,4869.85,2026-02-02,EDI,Flagged,Operations
29,5001,INV-0559qY,663.65,2025-06-17,Portal,Flagged,IT
30,5026,INV-8807Lp,1602.08,2026-02-17,Email,Pending,Marketing
31,5034,INV-4422NC,2294.57,2025-08-02,Email,paid,Operations
32,5031,INV-5548Wy,1863.56,2026-04-03,Paper,Flagged,Logistics
33,5042,INV-8929bW,1594.76,2025-11-07,Email,paid,Marketing
34,5039,INV-8938Cy,4244.6,2026-03-23,Email,Flagged,Logistics
35,5013,INV-8215YS,3765.52,2025-11-04,EDI,Flagged,Operations
36,5049,INV-0216Xe,2468.01,2025-12-25,Portal,Pending,Operations
37,5027,INV-6859FT,131.38,2025-08-31,Paper,paid,Operations
38,5026,INV-6249pH,1738.55,2026-02-06,EDI,Flagged,Logistics
39,5044,INV-7267ag,681.81,2026-01-23,Portal,Pending,Logistics
40,5040,INV-0326kM,82.35,2025-10-20,Email,paid,Operations
41,5033,INV-1290FP,4958.92,2026-04-26,EDI,Pending,Marketing
42,5017,INV-6098qL,659.43,2025-08-01,Portal,Pending,IT
43,5022,INV-0041on,3826.27,2026-02-23,Email,paid,Logistics
44,5048,INV-6086jv,1156.99,2025-08-30,EDI,paid,IT
45,5024,INV-0041xR,239.05,2025-09-15,EDI,Flagged,Marketing
46,5004,INV-9308Hr,3804.71,2025-06-15,EDI,Pending,Marketing
47,5003,INV-8701mS,2691.27,2026-02-23,Email,Pending,Logistics
48,5039,INV-1448du,1025.62,2026-02-13,Email,Pending,Operations
49,5014,INV-7519lN,2324.96,2026-02-23,EDI,Flagged,IT
50,5025,INV-7699di,3169.86,2026-01-11,Paper,Flagged,Operations
51,5032,INV-6459lh,2294.8,2025-11-04,Email,Flagged,Logistics
52,5036,INV-6875Tm,4920.98,2025-06-08,Paper,Pending,Operations
53,5035,INV-6564lw,374.22,2025-10-11,EDI,Flagged,Operations
54,5006,INV-7836TO,2206.38,2025-05-11,EDI,Pending,Operations
55,5008,INV-1093oD,2425.63,2025-09-03,EDI,Pending,IT
56,5003,INV-2409Ef,2719.03,2026-03-22,Email,Flagged,IT
57,5015,INV-2874ec,3839.49,2025-06-29,Paper,Pending,Logistics
58,5020,INV-9311Xj,1310.77,2025-09-09,Portal,Pending,IT
59,5043,INV-6741Tr,2513.34,2025-09-23,Paper,paid,IT
60,5029,INV-1773cY,1745.28,2026-02-28,EDI,paid,Operations
61,5018,INV-0690Bs,488.0,2025-07-05,EDI,Pending,Logistics
62,5003,INV-5690dJ,3887.95,2025-11-23,Email,paid,IT
63,5023,INV-1878Lh,649.1,2025-06-30,Email,Pending,Logistics
64,5027,INV-8336iI,2912.7,2025-08-06,Paper,Flagged,Marketing
65,5035,INV-2172lZ,155.69,2025-07-18,Portal,paid,Operations
66,5034,INV-4445Rc,4233.8,2026-01-26,EDI,Pending,Logistics
67,5036,INV-1784hz,674.92,2025-07-29,Email,Pending,Logistics
68,5016,INV-7975cL,3212.63,2026-03-07,Email,Pending,Marketing
69,5033,INV-0483DB,2850.48,2026-01-23,EDI,Flagged,Marketing
70,5004,INV-9174fc,3910.49,2026-02-14,Paper,Flagged,IT
71,5002,INV-9862vp,920.39,2025-05-21,Portal,Flagged,Logistics
72,5022,INV-3211Fe,395.95,2026-01-14,Paper,Pending,Operations
73,5045,INV-1021Qe,206.87,2026-03-19,Paper,Pending,IT
74,5004,INV-3736sr,3105.82,2025-08-26,Email,paid,Logistics
75,5048,INV-7710yn,2010.71,2026-01-20,Email,Flagged,Logistics
76,5006,INV-1659hB,4620.88,2026-05-03,Paper,Pending,Logistics
77,5040,INV-4831qB,352.92,2026-02-17,Email,paid,Logistics
78,5047,INV-4236kT,91.47,2026-02-19,Portal,Flagged,Operations
79,5026,INV-2039kn,3206.13,2026-03-05,EDI,paid,Marketing
80,5046,INV-1990AM,1983.29,2025-10-13,Portal,Pending,Operations
81,5012,INV-1662os,4091.9,2025-10-06,Paper,Pending,Operations
82,5014,INV-4747ya,839.4,2026-04-27,Portal,paid,Marketing
83,5010,INV-4603zt,1313.11,2025-12-26,Paper,paid,Marketing
84,5022,INV-3163ZJ,865.67,2025-11-09,EDI,Pending,Operations
85,5045,INV-0234eq,3083.71,2025-05-16,EDI,Flagged,IT
86,5009,INV-4483JC,4065.36,2026-04-18,Email,Flagged,Operations
87,5016,INV-8510NH,4950.16,2025-11-26,Paper,paid,IT
88,5042,INV-6320ym,3020.57,2025-12-30,Paper,paid,Logistics
89,5040,INV-5644pw,3599.87,2026-01-22,Portal,paid,Logistics
90,5043,INV-9459xc,2710.31,2025-09-06,Paper,Flagged,Logistics
91,5023,INV-3369hX,1056.93,2025-12-24,Paper,Flagged,Operations
92,5012,INV-6640Ap,3703.19,2025-11-06,Paper,Flagged,Marketing
93,5040,INV-0636gV,1203.42,2026-04-23,Email,Pending,IT
94,5017,INV-9519ep,4242.37,2026-01-10,EDI,Flagged,Logistics
95,5002,INV-5123RG,4642.91,2026-03-25,Paper,paid,IT
96,5032,INV-3179uz,1373.78,2026-04-27,EDI,paid,Marketing
97,5044,INV-3813he,3543.78,2025-06-13,Email,Flagged,Logistics
98,5027,INV-4033ZR,3754.82,2025-08-20,EDI,paid,Operations
99,5017,INV-4707Wq,1821.94,2026-03-16,Email,Pending,Marketing
100,5018,INV-0302kz,2819.82,2025-06-02,Paper,Pending,IT
101,5018,INV-0944mw,1463.57,2025-11-14,Email,Pending,Logistics
102,5036,INV-5577ZI,2085.5,2026-02-24,Portal,Pending,Marketing
103,5033,INV-4468lz,2647.58,2025-06-18,EDI,Pending,Operations
104,5020,INV-2208MZ,3969.93,2025-08-26,Portal,paid,Marketing
105,5016,INV-2695Tu,4384.02,2026-04-21,EDI,Flagged,Marketing
106,5006,INV-1660nS,4632.29,2025-06-27,Portal,Flagged,IT
107,5033,INV-7563al,643.16,2026-01-17,Paper,Pending,Logistics
108,5014,INV-5317RE,371.74,2025-08-26,Email,paid,Operations
109,5024,INV-9713af,3053.76,2026-02-12,Paper,Pending,Marketing
110,5024,INV-5943kd,1441.12,2026-03-06,Email,Pending,IT
111,5015,INV-6698rQ,3364.64,2025-10-09,Email,paid,Logistics
112,5006,INV-8439Ks,2307.19,2026-02-06,Portal,Flagged,Logistics
113,5005,INV-7714mm,4343.2,2025-11-14,Portal,Flagged,Marketing
114,5022,INV-6177wN,3835.65,2025-09-05,Portal,Pending,Marketing
115,5014,INV-8338Uw,2903.23,2026-03-17,Email,paid,Logistics
116,5045,INV-0658ZU,3905.15,2026-02-19,Email,paid,Marketing
117,5050,INV-3831ux,1805.66,2026-04-26,Paper,Pending,Logistics
118,5042,INV-4557zP,4695.44,2025-08-17,Paper,Flagged,IT
119,5038,INV-8662vG,3079.15,2026-04-13,EDI,Pending,Operations
120,5032,INV-3162wK,958.95,2025-10-30,Email,paid,Operations
121,5012,INV-3616NZ,327.18,2025-11-09,Email,Flagged,IT
122,5044,INV-2804eM,3444.64,2026-03-20,Portal,Pending,IT
123,5030,INV-4538Cr,638.26,2026-04-21,Paper,Pending,Marketing
124,5044,INV-3518pz,1185.72,2025-10-24,Portal,Flagged,IT
125,5042,INV-4625vJ,31.33,2025-10-10,Portal,paid,Marketing
126,5043,INV-0758Ws,3442.93,2025-09-16,Email,paid,Operations
127,5049,INV-9746SH,3738.96,2025-12-24,Email,Flagged,Logistics
128,5039,INV-0349AE,2171.61,2025-12-05,EDI,Flagged,IT
129,5002,INV-6469fR,1481.88,2025-10-18,Portal,Flagged,Operations
130,5002,INV-4588lZ,1987.66,2025-11-20,Email,paid,IT
131,5009,INV-9060mg,4363.63,2025-08-01,EDI,Pending,Marketing
132,5021,INV-4713lf,527.4,2025-11-03,Email,Pending,Operations
133,5010,INV-4382XH,1227.23,2025-10-25,Paper,Flagged,Marketing
134,5032,INV-3016iw,3433.15,2026-01-01,EDI,Flagged,Operations
135,5028,INV-1035BY,3437.65,2025-11-01,Paper,paid,Marketing
136,5049,INV-5704os,4635.09,2026-02-11,Paper,paid,Operations
137,5034,INV-6286nS,4315.22,2025-12-27,Email,Flagged,Marketing
138,5027,INV-8042sA,4080.41,2025-09-23,Portal,paid,Operations
139,5024,INV-3603Zu,3103.96,2025-12-24,Paper,Flagged,IT
140,5010,INV-1938vx,2949.49,2025-10-26,Email,Pending,Logistics
141,5025,INV-1374Zv,2344.23,2025-09-16,Paper,paid,Logistics
142,5021,INV-0561FS,3493.61,2025-12-31,EDI,paid,IT
143,5028,INV-2032Ag,3003.1,2025-06-02,Email,Flagged,Marketing
144,5038,INV-2037eV,1289.28,2025-06-10,Portal,Pending,Marketing
145,5037,INV-3721SE,837.11,2026-04-09,Portal,paid,Operations
146,5012,INV-5508df,1959.27,2025-10-21,Email,Flagged,IT
147,5038,INV-9724Io,38.81,2026-05-04,Paper,Pending,Logistics
148,5019,INV-3019tI,1445.78,2025-07-13,Email,paid,Operations
149,5006,INV-9614vS,879.16,2026-03-23,Paper,Pending,Operations
150,5025,INV-4729dL,3959.56,2025-11-14,Paper,Flagged,IT
151,5037,INV-9636uL,2146.51,2025-05-22,Email,Pending,Marketing
152,5004,INV-3244NB,4184.08,2026-02-17,Portal,Pending,Marketing
153,5041,INV-9585jf,3216.48,2026-01-16,EDI,paid,IT
154,5035,INV-8252ml,3227.68,2025-11-12,Paper,paid,Operations
155,5015,INV-8660DY,3949.3,2025-12-05,Paper,paid,Logistics
156,5020,INV-9853ec,3992.52,2025-06-25,Email,Flagged,Marketing
157,5050,INV-2328hq,3902.67,2025-12-16,Email,Flagged,Operations
158,5027,INV-7150Kz,1242.62,2026-01-23,Email,paid,Marketing
159,5036,INV-3711sN,4187.84,2026-03-06,Paper,paid,Marketing
160,5035,INV-6473vQ,3950.36,2026-01-22,Paper,paid,IT
161,5022,INV-5054jj,4732.57,2025-06-10,EDI,Flagged,Operations
162,5038,INV-6524nq,3137.47,2025-05-26,EDI,paid,IT
163,5007,INV-5513wc,4713.64,2025-09-30,Email,Pending,Marketing
164,5011,INV-9899wO,1043.72,2025-11-14,Email,Flagged,IT
165,5013,INV-5037aT,3022.47,2025-10-23,Paper,Flagged,Logistics
166,5009,INV-7473rI,3245.99,2026-04-25,Paper,Pending,IT
167,5041,INV-4820Ti,3306.69,2026-03-20,Paper,Flagged,IT
168,5046,INV-7169yY,736.18,2026-01-21,Portal,Flagged,Logistics
169,5028,INV-1569ri,534.12,2026-04-29,Portal,Flagged,Operations
170,5044,INV-6170ww,73.11,2025-06-05,Portal,Pending,Marketing
171,5017,INV-7489zd,3496.24,2026-01-19,Portal,Flagged,Marketing
172,5015,INV-9436gJ,1673.33,2025-12-24,Portal,Flagged,IT
173,5002,INV-5777bY,2801.41,2026-01-01,Paper,paid,Marketing
174,5036,INV-6069uQ,3499.16,2026-03-19,Portal,Flagged,Marketing
175,5028,INV-5182Eo,634.59,2026-04-25,Paper,Pending,Logistics
176,5035,INV-6808fJ,609.97,2025-12-31,Email,paid,Logistics
177,5019,INV-6490jP,2684.7,2025-11-19,Portal,Flagged,Marketing
178,5038,INV-5996GW,1676.54,2025-12-09,Paper,Flagged,Logistics
179,5033,INV-5280CZ,2396.12,2025-08-09,Paper,Flagged,Logistics
180,5040,INV-9161Aa,3293.53,2026-04-21,Email,Flagged,Marketing
181,5019,INV-5407eT,1651.79,2025-09-21,Portal,Flagged,Marketing
182,5034,INV-8466aH,4953.21,2026-03-08,Portal,Flagged,Marketing
183,5034,INV-1450nr,1098.41,2025-11-18,Email,paid,IT
184,5002,INV-2201gC,1187.39,2025-08-13,Portal,Flagged,Operations
185,5020,INV-3380om,3280.19,2026-01-25,EDI,paid,Logistics
186,5021,INV-0078IE,215.57,2026-04-27,Email,Pending,Marketing
187,5018,INV-5286zf,2654.28,2026-02-02,Email,paid,IT
188,5042,INV-4500pv,2402.4,2026-02-27,Email,Flagged,Operations
189,5035,INV-9606YK,4065.15,2025-07-20,Portal,Pending,Operations
190,5020,INV-5859PP,4452.38,2025-12-28,Paper,Flagged,IT
191,5007,INV-7819XL,579.46,2025-05-18,EDI,Flagged,IT
192,5038,INV-1453JX,4543.73,2026-03-17,Paper,paid,Marketing
193,5014,INV-7337gK,2403.67,2026-05-07,Paper,Pending,IT
194,5003,INV-5506nq,791.85,2025-10-01,Paper,Flagged,Marketing
195,5008,INV-4375xw,4032.29,2026-04-17,Email,paid,Operations
196,5007,INV-6667Mf,3002.59,2025-10-17,Email,Pending,Logistics
197,5016,INV-6590Cy,4530.23,2025-08-25,EDI,Pending,IT
198,5016,INV-8933qM,4606.61,2026-01-31,Paper,paid,IT
199,5049,INV-7663lm,922.3,2026-02-07,Email,paid,Marketing
200,5033,INV-2809yf,728.84,2025-06-06,Paper,Pending,IT
201,5005,INV-5934Vj,4727.86,2025-09-28,EDI,Pending,IT
202,5010,INV-0090MR,1256.11,2025-09-30,Paper,Flagged,Logistics
203,5038,INV-3346UR,3437.6,2025-08-18,EDI,paid,Operations
204,5006,INV-0854Ja,703.55,2025-08-01,EDI,paid,Marketing
205,5015,INV-8917CV,211.36,2026-04-23,EDI,Flagged,Operations
206,5005,INV-1012LS,4579.62,2025-06-23,EDI,paid,Logistics
207,5013,INV-8358nO,3921.19,2026-02-13,Paper,Flagged,Logistics
208,5002,INV-4021eh,290.26,2026-03-18,Portal,Pending,Logistics
209,5008,INV-6194ro,1992.53,2025-07-05,EDI,Pending,Operations
210,5042,INV-5266ye,1676.15,2026-03-04,EDI,Pending,Operations
211,5038,INV-1961gv,109.83,2025-09-20,EDI,Pending,Marketing
212,5038,INV-1185wA,1403.82,2026-02-19,EDI,paid,Marketing
213,5015,INV-3139Hl,2452.31,2025-07-14,EDI,Flagged,IT
214,5008,INV-8233Kx,363.87,2025-08-08,Portal,paid,Marketing
215,5031,INV-9530qT,2817.7,2025-09-08,Portal,Flagged,IT
216,5019,INV-9541Xw,2615.66,2025-09-14,EDI,paid,Operations
217,5018,INV-0492gl,4306.76,2025-11-23,EDI,Pending,Marketing
218,5014,INV-2886RZ,393.34,2026-01-23,EDI,Pending,Logistics
219,5039,INV-7929Mp,2654.49,2026-02-02,Portal,paid,Marketing
220,5028,INV-2731ty,1776.11,2025-12-31,Email,paid,Logistics
221,5002,INV-3216Wv,1736.72,2025-07-16,Portal,Pending,Marketing
222,5038,INV-4776kQ,1413.36,2025-05-22,Email,Flagged,IT
223,5015,INV-4906cQ,3433.86,2025-09-16,EDI,Flagged,IT
224,5044,INV-4537Ea,277.57,2025-07-20,EDI,paid,IT
225,5033,INV-9457Fa,831.91,2025-08-02,EDI,paid,Operations
226,5014,INV-8684sS,4516.22,2025-12-16,Email,Flagged,IT
227,5022,INV-5285tq,45.66,2025-07-14,EDI,Pending,Logistics
228,5031,INV-0743Bg,2207.82,2025-12-28,Portal,paid,Logistics
229,5036,INV-2083eG,205.73,2025-10-02,Email,paid,Marketing
230,5041,INV-1895Oz,2121.76,2025-09-25,Paper,Flagged,IT
231,5033,INV-4350wB,1658.14,2025-12-06,Paper,paid,Marketing
232,5043,INV-6015al,4697.28,2025-12-23,Email,paid,Logistics
233,5008,INV-2277uq,2035.72,2025-05-29,EDI,Flagged,Marketing
234,5021,INV-8077mB,627.05,2026-02-08,Paper,paid,Operations
235,5006,INV-6328CI,2344.1,2025-09-13,Paper,Flagged,Marketing
236,5004,INV-0466PS,3120.53,2025-07-07,EDI,paid,Marketing
237,5023,INV-5118bU,2043.0,2026-03-19,Email,paid,IT
238,5005,INV-6401jK,1495.98,2026-04-26,Portal,Pending,Logistics
239,5006,INV-8085TC,3753.7,2025-11-11,Paper,Flagged,Logistics
240,5042,INV-6342yG,823.86,2026-01-17,Email,paid,Logistics
241,5010,INV-0382jf,2843.84,2025-12-04,Portal,Flagged,Operations
242,5013,INV-6391We,2476.53,2025-08-10,Paper,Flagged,IT
243,5024,INV-7216il,3578.08,2025-11-21,Email,Flagged,Logistics
244,5025,INV-3248qk,4008.7,2025-09-11,Paper,paid,Logistics
245,5001,INV-4129Du,4354.56,2025-07-28,Email,paid,Marketing
246,5023,INV-3534JS,674.05,2026-03-05,Email,Pending,Operations
247,5031,INV-1295wP,801.95,2025-07-26,EDI,paid,Logistics
248,5027,INV-9316MA,4897.47,2026-04-15,Email,Flagged,Operations
249,5016,INV-7847oH,1057.48,2025-09-16,Portal,paid,Logistics
250,5050,INV-5176UL,2529.63,2025-05-22,Portal,Pending,Logistics
251,5031,INV-1677aL,690.31,2025-09-08,EDI,Flagged,Logistics
252,5024,INV-4811RX,3044.2,2026-01-13,Paper,paid,Marketing
253,5032,INV-5138lH,2601.02,2025-08-07,Email,Pending,Marketing
254,5004,INV-9612OY,1178.35,2026-01-31,EDI,paid,Operations
255,5004,INV-3761pX,3482.02,2026-01-03,EDI,Pending,Marketing
256,5026,INV-4236gH,881.51,2025-07-20,Portal,Flagged,IT
257,5039,INV-0471JD,4866.04,2025-10-07,Portal,Pending,Marketing
258,5045,INV-1809JE,4873.56,2025-10-16,Paper,Pending,IT
259,5034,INV-9131vs,3675.59,2026-03-02,Email,Flagged,Operations
260,5026,INV-7099Ei,869.48,2025-06-24,EDI,Pending,Marketing
261,5027,INV-8917JS,1628.13,2025-10-22,Paper,Pending,Operations
262,5040,INV-4456hu,1418.21,2025-06-18,Portal,Flagged,Logistics
263,5019,INV-9496be,3506.79,2026-03-06,Portal,Flagged,Operations
264,5043,INV-8286Uy,4988.32,2026-03-01,Email,paid,IT
265,5034,INV-6205bY,634.71,2025-09-10,Paper,Pending,Operations
266,5037,INV-4240SR,4546.31,2025-09-08,Paper,paid,Marketing
267,5010,INV-7827ie,4078.96,2026-05-01,Portal,paid,Marketing
268,5002,INV-7103oE,3266.21,2025-10-12,Portal,Flagged,Marketing
269,5032,INV-0730yX,3059.9,2026-04-08,Email,Pending,Logistics
270,5009,INV-5519qS,1397.45,2025-10-24,Email,paid,Marketing
271,5050,INV-5378Ak,2247.24,2026-01-05,Portal,Flagged,Logistics
272,5016,INV-0688JL,4458.06,2026-01-05,EDI,Flagged,Logistics
273,5005,INV-3453iG,1618.66,2026-02-09,Paper,Pending,IT
274,5020,INV-9628hk,4376.26,2025-12-24,Portal,Flagged,Operations
275,5029,INV-7460pV,3076.37,2026-02-19,Portal,Pending,Operations
276,5027,INV-4590xE,1213.22,2025-06-19,Email,Flagged,Marketing
277,5011,INV-3461qT,3896.25,2025-12-06,EDI,Flagged,Logistics
278,5038,INV-1459xq,1361.12,2025-09-06,EDI,paid,Operations
279,5034,INV-6182hE,2035.59,2025-10-17,Paper,paid,IT
280,5033,INV-2042Pl,3576.48,2025-05-17,Email,paid,Operations
281,5041,INV-2827hJ,4075.09,2025-12-15,Portal,Flagged,Logistics
282,5007,INV-6563wA,1405.75,2025-06-10,EDI,paid,IT
283,5023,INV-2610xR,4197.22,2026-04-23,Email,Flagged,Marketing
284,5019,INV-3094Cm,3745.46,2026-03-10,Email,Flagged,Marketing
285,5039,INV-9744Xk,2467.95,2025-12-02,Email,Flagged,IT
286,5002,INV-7880KX,2494.93,2025-06-01,Portal,paid,Logistics
287,5019,INV-5296Pl,3390.92,2025-05-16,EDI,Flagged,Logistics
288,5026,INV-6535Kx,1566.79,2026-04-16,Paper,paid,Logistics
289,5009,INV-2665Ir,3962.94,2025-07-15,Paper,paid,IT
290,5038,INV-5011kB,1487.4,2025-12-30,Portal,Flagged,Marketing
291,5033,INV-2664dV,4975.56,2025-09-06,Email,Pending,IT
292,5008,INV-5455eq,1194.16,2026-01-10,Portal,paid,Logistics
293,5029,INV-6100Zx,750.46,2025-05-13,EDI,paid,Operations
294,5013,INV-2033WE,807.9,2026-05-01,Email,paid,Operations
295,5049,INV-6703fj,2017.52,2025-10-10,Email,Pending,Logistics
296,5024,INV-5318nD,1306.99,2025-08-03,Paper,Flagged,Logistics
297,5045,INV-2048gr,329.73,2025-10-17,EDI,Pending,Logistics
298,5046,INV-7383BM,1227.57,2025-07-22,Email,paid,Marketing
299,5010,INV-3759Ex,3084.41,2026-02-02,Paper,paid,IT
300,5020,INV-4722Cg,4041.41,2025-07-21,Paper,paid,Marketing
301,5019,INV-9029rc,603.75,2026-02-26,Email,Flagged,Logistics
302,5048,INV-7840AA,2952.17,2025-06-28,Paper,Pending,Marketing
303,5005,INV-2055Yv,3905.54,2026-02-22,Paper,paid,Operations
304,5010,INV-2890dH,2278.08,2026-02-23,Email,paid,Logistics
305,5027,INV-3384UX,704.77,2025-06-10,Paper,Pending,IT
306,5003,INV-9695SC,2451.53,2025-11-22,EDI,paid,Logistics
307,5023,INV-7074uf,2918.89,2026-03-14,Paper,Pending,IT
308,5015,INV-9307Ji,2945.45,2026-01-28,Email,Flagged,Logistics
309,5048,INV-5505zu,2536.42,2026-03-01,Paper,paid,Logistics
310,5035,INV-9097Uk,521.41,2026-03-14,EDI,Flagged,Operations
311,5048,INV-9489XV,4949.55,2026-04-11,EDI,Pending,Marketing
312,5017,INV-8172ap,4169.07,2026-04-20,Email,Flagged,Logistics
313,5036,INV-0284ag,1745.81,2025-06-18,Email,Pending,Logistics
314,5011,INV-9029sM,4720.22,2026-03-13,Paper,paid,IT
315,5050,INV-7977QK,4903.73,2026-02-11,Paper,Pending,Logistics
316,5001,INV-4335Yd,3126.16,2025-12-16,Email,paid,Marketing
317,5021,INV-9168Oq,2607.01,2025-11-29,Email,paid,Marketing
318,5045,INV-3707SK,188.7,2025-09-18,Portal,Flagged,IT
319,5010,INV-1450Qg,3451.58,2025-12-21,Email,Flagged,Operations
320,5037,INV-4306qF,1007.24,2026-05-03,Portal,Pending,IT
321,5007,INV-5124Ql,3562.67,2025-08-13,Portal,paid,Logistics
322,5001,INV-1909KC,3927.16,2025-09-08,Email,paid,Logistics
323,5004,INV-1831RX,1064.93,2025-06-05,Paper,paid,Logistics
324,5026,INV-2093ci,3780.65,2025-11-17,EDI,Pending,Operations
325,5010,INV-3569iO,2275.89,2025-05-28,EDI,Pending,IT
326,5028,INV-6699um,1980.16,2026-03-18,EDI,paid,Marketing
327,5014,INV-0923pe,3359.71,2026-04-29,EDI,paid,Marketing
328,5019,INV-4887Fx,4825.88,2026-04-04,Paper,paid,Operations
329,5021,INV-5109YO,729.19,2026-02-25,Paper,paid,IT
330,5037,INV-5996FJ,1795.94,2025-10-17,EDI,Flagged,Logistics
331,5030,INV-3752xZ,2128.44,2025-09-12,Email,Pending,Logistics
332,5020,INV-3808tg,4405.76,2026-05-09,Portal,Flagged,Marketing
333,5016,INV-2374DS,3689.22,2026-02-04,Paper,Flagged,Marketing
334,5047,INV-2540oK,2810.66,2025-09-14,EDI,Flagged,IT
335,5033,INV-4350Py,2867.18,2025-08-01,EDI,paid,Marketing
336,5019,INV-4139PR,305.28,2025-07-17,EDI,Flagged,Operations
337,5045,INV-9667bW,1543.55,2025-10-02,Paper,Flagged,Operations
338,5025,INV-7707Sl,174.2,2026-01-28,EDI,paid,Operations
339,5025,INV-2706PX,4393.86,2025-12-10,Paper,paid,Operations
340,5046,INV-5724nV,1234.38,2025-08-27,Email,Pending,Logistics
341,5017,INV-0252gG,2702.0,2026-04-30,EDI,Flagged,Logistics
342,5012,INV-5753EE,2836.4,2025-05-19,EDI,Pending,Marketing
343,5005,INV-6664PL,2034.57,2025-05-27,Paper,Flagged,IT
344,5027,INV-6503Ok,3359.07,2026-01-26,EDI,paid,Operations
345,5027,INV-5752Jp,683.52,2025-11-29,Paper,Flagged,Logistics
346,5048,INV-6637uh,2154.3,2025-06-01,Paper,paid,IT
347,5006,INV-0771WZ,2622.57,2025-08-01,Portal,Pending,Logistics
348,5044,INV-2586vz,1585.37,2026-03-14,Portal,paid,Logistics
349,5033,INV-8576De,2827.01,2026-01-07,EDI,Pending,IT
350,5008,INV-8123xB,1749.25,2025-05-22,Paper,paid,Operations
351,5014,INV-7124aq,2477.82,2025-11-21,Portal,paid,IT
352,5032,INV-2814JP,1281.18,2025-05-15,EDI,paid,Operations
353,5026,INV-7803EW,1136.93,2026-02-07,Email,Pending,Logistics
354,5030,INV-5739vN,3067.03,2026-02-03,Portal,paid,Logistics
355,5030,INV-4914gr,835.97,2025-06-28,Paper,Pending,Logistics
356,5016,INV-2505XD,966.69,2025-08-01,Portal,Flagged,IT
357,5003,INV-2516vW,1384.9,2026-01-23,EDI,Pending,Marketing
358,5023,INV-1333Dk,3288.83,2026-02-10,Paper,Pending,Operations
359,5017,INV-0803OG,893.96,2025-12-19,Paper,Flagged,Marketing
360,5033,INV-6232Jw,2675.81,2026-01-12,Paper,paid,Logistics
361,5016,INV-4116yf,4169.48,2025-05-27,Email,paid,Operations
362,5027,INV-6363um,2482.73,2025-10-09,EDI,paid,IT
363,5015,INV-2882ax,1906.48,2026-01-29,Email,Flagged,Operations
364,5048,INV-3615pn,2094.4,2026-02-26,Email,Flagged,IT
365,5019,INV-3159zM,1741.0,2025-08-18,Email,Flagged,Marketing
